prompt,status,operation,statement,model,base_words,aligned_words
He kicked the,member,charge-draining substitution,"Alignment shifts probability away from whichever candidate carries social, affective, or idiomatic charge -- a person, a taboo word, an idiom -- and toward the flattest, most literal physical object still available to complete the sentence.",neo_7b_instruct_v0.1,bag man dog soccer,tree chair back bucket
He kicked the,member,charge-draining substitution,"Alignment shifts probability away from whichever candidate carries social, affective, or idiomatic charge -- a person, a taboo word, an idiom -- and toward the flattest, most literal physical object still available to complete the sentence.",salamandra-7b-instruct,habit,ground dog dirt
He kicked the,member,register collapse to chat,"Instead of substituting one physical completion for another, alignment abandons the sentence-completion task itself and shifts probability onto function words and meta-conversational tokens unrelated to the physical scene being described.",Lucie-7B-Instruct-v1.1,bucket football soccer can goal puck guy boy,following world question e answer person
He kicked the,member,register collapse to chat,"Instead of substituting one physical completion for another, alignment abandons the sentence-completion task itself and shifts probability onto function words and meta-conversational tokens unrelated to the physical scene being described.",Olmo-3-7B-Instruct,ball door bucket ground dog shit football tires man tire bag gun chair,the question while you what another answer his my and then big very problem title remaining rest toy
He kicked the,reversed,charge-draining substitution,"In every member of charge-draining substitution, sport-equipment words are what alignment moves toward (B-favored) while person/idiom/taboo words are what it moves away from (A-favored). Here that pairing is inverted: football (13->22, -9) and soccer (9->15, -6) sit in this model's own HIGHER-UNDER-A list, meaning the base model favors them more than the aligned one does, while man (10->8, +2) sits in its HIGHER-UNDER-B list, gaining slightly under alignment. The football/soccer movement is substantial; the man movement is real but modest, so the reversal rests more heavily on the sport-word half of the pairing.",mpt-7b-instruct,football soccer,man
He kicked the,unassigned,,"Large real movement on both sides (wall -115, water -131, ground -154, baby -74 away; boulder +169, legs +102, shins +130, feet +71, body +110, moon +121 toward), but the landing words are an incoherent mix of nonsense (boulder, moon, glass, little, right) and explicit body-part terms (legs, shins, feet, body) that fit neither the banal-object landing of charge-draining substitution nor the meta-word register of register collapse -- more likely an undertrained 1B model's noisy re-ranking than a legible operation.",OLMo-2-0425-1B-Instruct,,
He kicked the,unassigned,,"All rank shifts are small (largest magnitude is 6, most words unchanged), too close to noise to anchor either named operation.",OLMoE-1B-7B-0125-Instruct,,
He kicked the,unassigned,,"Real attrition on the A-favored side (door -7, bag -11) but no word on the B side gains appreciable rank -- the sole B-listed word, ball, is unchanged (1->1) -- so there is no landing zone to pair the loss with.",Qwen2.5-0.5B-Instruct,,
He kicked the,unassigned,,Essentially flat: the largest movement anywhere is 2 rank positions. The ball____/ball pair looks like tokenizer-artifact bookkeeping rather than semantic displacement.,Qwen2.5-7B-Instruct,,
He kicked the,unassigned,,"rock (-29) and stone (-26) lose real rank, but nothing on the B side gains comparably -- ball and door are both listed as B-favored yet unchanged (1->1, 2->2) -- a real loser with no identifiable winner, the mirror-image problem of Qwen2.5-0.5B-Instruct.",Qwen3-8B,,
He kicked the,unassigned,,"Real movement on both sides (car -72, ground -88, back -61 away; canoe +102, tree +44, wall +14 toward), but neither side contains a person, idiom, or taboo word -- both are equally mundane physical nouns, so it does not clearly instantiate charge-draining substitution rather than idiosyncratic re-ranking among banal objects.",RedPajama-INCITE-7B-Chat,,
He kicked the,unassigned,,"Real attrition including a person word (boy -8, table -17, back -40, other -18) but nothing on the B side clears real magnitude -- ball, dog, and bucket all move by 3 ranks or less -- attrition without a landing zone.",SmolLM2-360M-Instruct,,
He kicked the,unassigned,,"Only 'shit' (-5) clears real magnitude on the A side and nothing clears it on the B side (soccer, the largest B mover, is only +4); too thin to instantiate either operation confidently.",SmolLM3-3B,,
